1	1	1	"Відомості про кількість дворів у Черкасах за 1865 р. із зазначенням кількості дворів, що несуть постійну повинность; відомість про податок на постійний обов'язок та витрати на наймання приміщень для	1865-1865		1	ДАЧкО-1-1-1
1	1	10	Магістрати і міські думи	1891-1892		2	ДАЧкО-1-1-10
1	1	11	Справа за обвинуваченням Моргулина Меєра Гершковича в незаконному лікарюванні	1891-1892		2	ДАЧкО-1-1-11
1	1	12	"Відкриті листи заарештованих, направлених до повітової в'язниці "	1893-1893		1	ДАЧкО-1-1-12
1	1	13	"Листування з губернським правлінням та сільськими лікарями про витрати сум, відпущених для боротьби з холерою "	1895-1895		1	ДАЧкО-1-1-13
1	1	14	"Повідомлення Звенигородського повітового поліцейського управління про інфекційні захворювання у повіті "	1896-1897		1	ДАЧкО-1-1-14
1	1	15	"Статистичні відомості про розміри посівних площ на надільних селянських землях у 1892 р. по всіх волостях повіту, про чисельність селянського населення у 1892 р. з поділом по підлозі, розмірах посівн	1892-1897		1	ДАЧкО-1-1-15
1	1	16	Звіти пристава 2 стану та листування з ним про вбивство селянина М. Юшни Теличка Івана	1897-1897		2	ДАЧкО-1-1-16
1	1	17	Розпорядження губернатора, листування з ним щодо усунення купця єврея Полінковського Соломона від управління нерухомим майном поміщиці Вразоль у с. Руська Поляна	1892-1893		2	ДАЧкО-1-1-17
1	1	18	"Приписи губернатора, листування з поліцейськими приставами, військовими частинами, керуючими маєтками про розквартування постійних та маршових військ у м. Черкасах та повіті  У супровідному листі Киї	1890-1909		1	ДАЧкО-1-1-18
1	1	19	"Циркулярні розпорядження губернатора про заходи поліпшення боротьби з казнокрадством у губернії. "	1898-1901		1	ДАЧкО-1-1-19
1	1	2	Листування з Київським губернським правлінням, казенною палатою та становими приставами про грошове та речове забезпечення кінно-розсилальних команд при станових правліннях "	1868-1869		1	ДАЧкО-1-1-2
1	1	20	"Грошові звіти, рахунки та листування з приставами про пошиття обмундирування та ремонт зброї Черкаської поліцейської команди "	1903-1903		1	ДАЧкО-1-1-20
1	1	2005				0	ДАЧкО-1-1-2005
1	1	2009				0	ДАЧкО-1-1-2009
1	1	21	Розпорядження губернатора/друкарські екземпляри, та оголошення повітового справника про проведення пробних мобілізацій	1903-1903		1	ДАЧкО-1-1-21
1	1	22	"Рапорти поліцейських приставів, урядників про виявлення та розповсюдження революційних листівок та брошур на промислових підприємствах у м. Смілі та Черкасах, м. Городище, с. Жудяках та інших населен	1904-1904		1	ДАЧкО-1-1-22
1	1	23	Переписка з Київським губернським жандармським управлінням, поліцейськими приставами про розшук Ігнатова Г.П., який перебуває під особливим наглядом поліції	1904-1905		2	ДАЧкО-1-1-23
1	1	24	"Рапорти поліцейських приставів повітовому справнику про поширення у м. Черкасах та Смелес. Валяві, Млієві, Самгородці та інших населених пунктах повіту революційних прокламацій; рапорти повітового сп	1904-1904		1	ДАЧкО-1-1-24
1	1	25	Переписка з поліцейськими органами про зняття особливого нагляду поліції з міщанина м. Черкаси Гальперіна Носона Х.	1905-1905		2	ДАЧкО-1-1-25
1	1	26	Рапорти приств, довідки про облік мисливських товариств у Черкаському повіті	1907-1907		1	ДАЧкО-1-1-26
1	1	27	Переписка з Тифліським поліцмейстером, протоколи огляду будівлі, прохання про відкриття в Смілі будинку терпимості М. Котляренкової	1907-1908		2	ДАЧкО-1-1-27
1	1	28	Листування з губернічним правлінням та становими приставами про благодійні товариства	1908-1909		1	ДАЧкО-1-1-28
1	1	29	"Циркуляри, розпорядження губернатора, листування зі становими приставами, дозволи на проведення з благодійною метою лекцій, спектаклів, зборів на допомогу постраждалим від війни "	1914-1915		1	ДАЧкО-1-1-29
1	1	3	"Статистичні відомості про рух населення по парафіях римо-католицької та лютеранської церков у Черкаському повіті за 1869 р. "	1869-1869		1	ДАЧкО-1-1-3
1	1	30	Заяви та прохання про видачу паспортів та інших видів на проживання	1914-1915		2	ДАЧкО-1-1-30
1	1	31	"Листування з приставами, міською управою, рапорти, рахунки про проведення санітарних заходів у Черкасах "	1914-1915		1	ДАЧкО-1-1-31
1	1	32	Циркуляри, розпорядження, телеграми начальника Київського військового округу та Київського губернатора з питань закупівель та реквізиції продовольства та фуражу для потреб армії та військового відомст	1914-1915		1	ДАЧкО-1-1-32
1	1	33	Розпорядження губернатора про відкриття торгових підприємств кооперативами та приватними особами, про перевезення тіл померлих офіцерів і солдатів на батьківщину за клопотанням їхніх рідних; заяви про перехід у сектантство	1914-1915		2	ДАЧкО-1-1-33
1	1	34	Листування з губернатором, становими приставами про організацію в Черкасах туберкульозного санаторію та інших лазаретів для хворих солдатів, про звільнення приміщень навчальних закладів, зайнятих під	1914-1915		1	ДАЧкО-1-1-34
1	1	35	Розпорядження губернатора, заяви, рапорти про виїзд за кордон медичного персоналу та священників австрійських підданих, клопотання іноземних підданих про дозвіл залишатися на попередньому місці проживання	1914-1915		2	ДАЧкО-1-1-35
1	1	36	Розпорядження, накази, оголошення губернатора військових начальників про порядок закупівель продовольства, фуражу, коней для діючої армії в прифронтовій смузі, виявлення зброї військового зразка у цивільного населення; статистичні відомості про надлишки грубого фуражу по волостях повіту; списки членів смілянських відділень чорносотенних монархічних організацій - союзу Михаїла Архангела і товариства "Двоголовий орел", повідомлення губернатора про розгляд клопотань громадян	1915-1915		2	ДАЧкО-1-1-36
1	1	37	Листування з губернатором, становими приставами, заяви громадян про звільнення від мобілізації в діючу армію або звільнення з діючої армії за сімейними обставинами, призначення допомоги сім'ям мобілізованих	1915-1915		2	ДАЧкО-1-1-37
1	1	38	"Доповіді Черкаської повітової земської управи земським зборам травневої надзвичайної сесії 1915 р. Листівка ""Російський солдат"" "	1915-1915		1	ДАЧкО-1-1-38
1	1	39	Список абонентів Черкаської міської телефонної мережі	1914-1917		2	ДАЧкО-1-1-39
1	1	4	"Листування з Черкаською міською думою про стан міської пожежної команди "	1870-1890		1	ДАЧкО-1-1-4
1	1	40	Недійсний опис справ № I за 1865, 1868-1917 роки	1865-1865,1868-1917		0	ДАЧкО-1-1-40
1	1	5	Розпорядження губернатора та листування з поліцейськими органами про висилку іноземців та євреїв з Росії. Списки іноземців, які проживають в повіті, прийняли або не прийняли підданство	1873-1896		2	ДАЧкО-1-1-5
1	1	6	"Розпорядження командувача військами, зосередженими у південних повітах Київської губернії, щодо заходів щодо посилення нагляду та виявлення осіб, які ведуть революційну діяльність серед населення /ор	1881-1881		1	ДАЧкО-1-1-6
1	1	7	"Розпорядження губернатора, листування з повітовим казначейством та Черкаською поштовою конторою про охорону грошових комор "	1881-1896		1	ДАЧкО-1-1-7
1	1	8	"Листування з губернатором та становими приставами про релігійну секту штундистів у повіті та про Черкаський старообрядницький чоловічий монастир "	1883-1914		1	ДАЧкО-1-1-8
1	1	9	органи поліції і жандармерії 1740-1930	1887-1912		2	ДАЧкО-1-1-9
1	2	1	Справа за скаргою купця Мещерякова на відставного прапорщика Бірона за крадіжку коней і речей у нього	1859-1862		2	ДАЧкО-1-2-1
1	2	10	Метрична книга реєстрації шлюбів	1880-1902	метрична книга|шлюб	2	ДАЧкО-1-2-10
1	2	11	Метрична книга реєстрації заяв про смерть осіб, записаних у поліцейські метричні книги	1900-1900	метрична книга|смерть	2	ДАЧкО-1-2-11
1	2	12	Метрична книга реєстрації народжених	1889-1902	метрична книга|народження	2	ДАЧкО-1-2-12
1	2	13	Метрична книга реєстрації шлюбів	1882-1900		2	ДАЧкО-1-2-13
1	2	14	Метрична книга реєстрації народжених	1889-1902		2	ДАЧкО-1-2-14
1	2	15	Рішення поліцейського управління про стягнення штрафу з кріпачки Пугачової, яка проживала без дозволу на проживання	1864-1864		2	ДАЧкО-1-2-15
1	2	16	Списки євреїв Черкаського повіту, які переселилися після 1882 року	1882-1882		2	ДАЧкО-1-2-16
1	2	17	Відомості про економічний стан повіту, кількість установ, населення за станами	1900-1900		2	ДАЧкО-1-2-17
1	2	18	Протоколи про впізнання трупів, перевірених поліцейським чиновником м. Сміли Павловичем	1893-1893		1	ДАЧкО-1-2-18
1	2	19	Недійсний опис справ № 2	1859-1862,1864-1864,1866-1867,1870-1871,1878-1907		0	ДАЧкО-1-2-19
1	2	2	Рішення повітового суду у справі про вимагання грошей у міщан волосним писарем с. Попівки	1866-1867		2	ДАЧкО-1-2-2
1	2	2001				0	ДАЧкО-1-2-2001
1	2	2002				0	ДАЧкО-1-2-2002
1	2	3	Вступні листи за 1870-1871 рр.	1870-1871		1	ДАЧкО-1-2-3
1	2	4	Книга реєстрації видачі виписок з метричних книг	1881-1893		2	ДАЧкО-1-2-4
