target,target_id,root_url,root_parsed,survivor_id,survivor_url,survivor_parsed
file,00a49b84-e06d-4506-95b9-fc9edaec51a3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007807972,"ДАЧкО-(931-1-2711+++931-1-2711+++Ф. 931, о. 1, д. 2711 Смерти 1913-1921)",bffbdbf4-a758-444b-9dcb-4a8e29903f91,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007807972_006_M9MK-7VF,ДАЧкО-(931-1-2711+++931-1-2711+++931-1-2711_1913-1921)
file,00ac13ee-1436-4261-a6f7-e4b26c7f27b5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606272,"ДАДоО-(456-1-4+++456-1-4+++Ф. 456, о. 1, д. 4 Рождения, бракосочетания, смерти 1916)",775d512f-3474-4f8d-b9bc-7dc02766882f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606272_006_M99P-D2P,ДАДоО-(456-1-4+++456-1-4+++456-1-4-1916)
file,00ae5a48-a1d7-4f3c-ac1b-45436b4429a3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803093,"ДАСО-(++++++Ф. 745-1/102-103. рождения, бракосочетания 1896 -- рождения, бракосочетания, смерти 1897)",0d40fc3f-c8d3-4a64-b869-3992ee348b9c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803093_001_M9MV-GLL,"ДАСО-(745-1-102+++745-1-102+++Ф. 745, о. 1, д. 102 (продолжение) Смерти 1896)"
file,00ae5a48-a1d7-4f3c-ac1b-45436b4429a3,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803093,"ДАСО-(++++++Ф. 745-1/102. рождения, бракосочетания, смерти 1896)",0d40fc3f-c8d3-4a64-b869-3992ee348b9c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803093_001_M9MV-GLL,"ДАСО-(745-1-102+++745-1-102+++Ф. 745, о. 1, д. 102 (продолжение) Смерти 1896)"
file,017c01cc-3af8-44f1-86b4-2f7fbac22b48,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007818990,"ДАСО-(960-3-99+++960-3-99+++Ф. 960, о. 3, д. 99 Исповедные ведомости 1759-1792 (некоторые года пропущены))",a126f4da-2edd-4c53-a26c-01b8d474174e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007818990_005_M9M2-6K1,ДАСО-(960-3-99+++960-3-99+++960-3-99_1759-1792)
file,017cff89-5592-4908-8d49-ca4875735db7,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809294,ДАТО-(++++++Volume 487-1/4 Births 1784-1905),cb513543-1624-464b-bfac-eca82bbaee3c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007809294_004_M9MK-7TD,ДАТО-(487-1-4+++487-1-4+++487-1-4)
file,01b25f88-57c0-4fee-bdf9-6800a384a4a4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808212,"ДАЧкО-(931-1-3225+++931-1-3225+++Ф. 931, о. 1, д. 3225 (продолжение) Смерти 1882 -- Рождения, бракосочетания, смерти 1883-1914 (некоторые записи пропущены))",01e846cf-4fc7-4e37-a105-e95d20bc9fc1,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808212_001_M9MK-W5D,ДАЧкО-(931-1-3225+++931-1-3225+++931-1-3225)
file,01eb94bb-3f74-4ca5-bf42-273f06904a55,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812452,"ДАЧкО-(152-71-158+++152-71-158+++Ф. 152, о. 71, д. 158 Исповедные ведомости 1906)",8247b194-8661-4129-9a3f-8365a4822d32,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007812452_005_M9KZ-ZBR,ДАЧкО-(152-71-158+++152-71-158+++152-71-158)
file,02c388e0-037a-4cc2-9814-cc9e904a758a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819198,"ДАЧкО-(872-1-2+++872-1-2+++Ф. 872, о. 1, д. 2 Бракосочетания 1878 (село Тимошовка))",e2c09b10-c399-4178-9d91-b86025d91ae5,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007819198_003_M9M2-VZ7,ДАЧкО-(872-1-2+++872-1-2+++872-1-2)
file,031f8287-6ac3-4f10-91d9-e0e7ab6fb896,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802622,"ДАМО-(484-1-1283+++484-1-1283+++Ф. 484, о. 1, д. 1283 Рождения, бракосочетания, смерти 1893)",957a956f-b176-4f62-b0e7-32330e454a0c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007802622_004_M9MV-GWY,ДАМО-(484-1-1283+++484-1-1283+++484-1-1283_1893)
